Solute,T/ K,Measured,Method,Ref.,,,,,
Diethylamine,303.15,5.4,GCR,42,,,,,
Diisopmpylamine,293.15,33.24,EXT,7,,,,,
Dimethylacetamide,298.15,1.04,HS,9,,,,,
Piperidine,343.15,6.62,EBUL,39,,,,,
Piperidine,363.15,6.89,EBUL,39,,,,,
Piperidine,373.15,7.24,EBUL,39,,,,,
Pyridine,298.15,19.9,HS,9,,,,,
Pyridine,343A5,24.6,EBUL,39,,,,,
Pyridine,363.15,20,EBUL,39,,,,,
Pyridine,373.15,17,EBUL,39,,,,,
4-Methylpyridine,298.15,42.3,GCR,42,,,,,
3-Methylpyridine,298.15,49. 1,GCR,42,,,,,
N-Methylpyrrolidone,298.75,0. 3 7 ± 0 .014,DP,65,,,,,
N-Methylpyrrolidone,308.35,0.60 _+0.09,DP,65,,,,,
N-Methylpyrrolidone,317.95,0. 86+0.15,DP,65,,,,,
N-Methylpyrrolidone,328.35,1. 13-+0.03,DP,65,,,,,
N-Methylpyrrolidone,337.85,1.39-+0.20,DP,65,,,,,
Aniline,323. 15,129,EXT,69,,,,,
Aniline,373. 15,80,EXT,68,,,,,
"N,N-Dimethylformamide",289.35,0. 5 8 _+ 0 .03,DP,65,,,,,
"N,N-Dimethylformamide",291.95,0. 6-+ 0. 1,DP,62,,,,,
"N,N-Dimethylformamide",297.95,0.65-+0.11,DP,65,,,,,
"N,N-Dimethylformamide",298.15,O. 83,11S,9,,,,,
"N,N-Dimethylformamide",298.15,0. 62,11S,9,,,,,
"N,N-Dimethylformamide",307.75,0 . 8 1 L 0 . 0 8,DP,65,,,,,
"N,N-Dimethylformamide",308.25,0. 7 -+ 0.1,DP,62,,,,,
"N,N-Dimethylfonnamide",317.85,0. 95 + 0.11,DP,65,,,,,
"N,N-Dimethylfonnamide",318.05,0.8_+ 0. 1,DP,62,,,,,
"N,N-Dimethylfonnamide",323.15,0. 89_+0. 4,EBUL,5,,,,,
"N,N-Dimethylfonnamide",328.25,1. 11 _+ 0. 04,DP,65,,,,,
"N,N-Dimethylfonnamide",328.25,1 . 0 _+ 0.1,DP,62,,,,,
"N,N-Dimethylfonnamide",333.05,1. :35 _+ 0.26,EBUL,5,,,,,
"N,N-Dimethylfonnamide",337.75,1. 1 _+ 0.1,DP,62,,,,,
"N,N-Dimethylfonnamide",337.95,1.30_+0.40,DP,65,,,,,
"N,N-Dimethylfonnamide",343.05,2.67-+0.15,EBUL,5,,,,,
"N,N-Dimethylfonnamide",347.35,1. I _+ 0.1,DP,62,,,,,
~crylonitrile,298.15,39.4,EXT,72,,,,,
~crylonitrile,373.15,35,EXT,72,,,,,
Acetonitrile,298.15,11. 1,HS,9,,,,,
Acetonitrile,298.15,10. 09,KltW,37,,,,,
Acetonitrile,298.15,16.37,KGW,2,,,,,
Acetonitrile,298.15,9.24,EXT,72,,,,,
Acetonitrile,364.15,21.1,EXT,45,,,,,
Acetonitrile,373.15,10.3,EXT,72,,,,,
Propionitrile,298.15,35.29,HS,9,,,,,
Propionitrile,298.15,37.56,KHW,37,,,,,
Propionitrile,298.15,34.9,KGW,2,,,,,
Butyroaitrile,298.15,117.75,HS,9,,,,,
Butyroaitrile,298.15,112.56,KHW,37,,,,,
Butyroaitrile,298.15,115. 18,KGW,2,,,,,
Isobutyronitrile,298.15,117,HS,9,,,,,
Isobutyronitrile,298.15,134.69,KHW,37,,,,,
Valeronitrile,298.15,401.9,IIS,9,,,,,
Valeronitrile,298.15,413,KI-IW,37,,,,,
Valeronitrile,298.15,382.8,KGW,2,,,,,
Hexanenitrile,298.15,1401,HS,9,,,,,
Benzonitrile,298.15,1741,HS,9,,,,,
Nitromethane,298.15,31.6,ItS,9,,,,,
Nitromethane,298.15,31.68,HS,46,,,,,
Nitromethane,323.15,21.4,EBUL,5,,,,,
Nitroethane,298.15,88.6,ItS,9,,,,,
Nitropropane,298.15,299. 2,HS,9,,,,,
3-Nitrotoluene,298.15,7089,KHW,36,,,,,
3-Nitrotoluene,298.15,l. 45 × 104,KGW,2,,,,,
Carbon disulfide,293.15,3300,GCR,63,,,,,
Dimethylsulfoxide,298.75,0. 09 + 0.02,DP,65,,,,,
Dimethylsulfoxide,308.35,0. 10-+ 0. 002,DP,65,,,,,
Dimethylsulfoxide,317.95,0. 12_+0. 017,DP,65,,,,,
Dimethylsulfoxide,328.35,0. 135-+0.015,DP,65,,,,,
Dimethylsulfoxide,337.85,0. 17+0.004,DP,65,,,,,
"1,4-Dioxane",298.15,5.42,HS,9,,,,,
"1,4-Dioxane",298.15,5.45,HS,46,,,,,
Ethylene Oxide,298.15,6.23,GCR,"16,65",,,,,
