Solvent,Temp,Measured,Ref,,,,,
1-Nonyne,298.15,9 . 5 8 xl0 s,"9,12",,,,,
"1,6-Heptadiyne",298.15,3100,"9,12",,,,,
"1,8-Nonanediyne",298.15,53400,5,,,,,
Benzene a,278.15,2684.7,7,,,,,
Benzene a,288.15,2748.8,7,,,,,
Benzene a,295.15,2670.4,"7, 1",,,,,
Benzene a,298.15,2676.9,7,,,,,
Benzene a,"298,15",2480,"9,12",,,,,
Benzene a,298.15,2400,9,,,,,
Benzene a,308.15,2543.2,7,,,,,
Benzene a,318.15,2413.8,7,,,,,
Styrene,298.15,180OO,"9,12",,,,,
Indan,298.15,60200,"9,12",,,,,
Indan,298.15,6.0x104,6,,,,,
m-Methyl styrene,298.15,73500,"11,12",,,,,
p- Methyl styrene,298.15,73500,"11,12",,,,,
Toluene a,288.15,9948.2,7,,,,,
Toluene a,295.15,9701.2,"7, 1",,,,,
Toluene a,298.15,9701.8,7,,,,,
Toluene a,298.15,9412,9,,,,,
Toluene a,308.15,9392.8,7,,,,,
Toluene a,318.15,8760.9,7,,,,,
Ethylbenzene a,288.15,"3.676x10""",7,,,,,
Ethylbenzene a,298.15,3.484 ~ I0 ~,7,,,,,
Ethylbenzene a,298.I5,3 . 5 7 0 x104,9,,,,,
Ethylbenzene a,308.15,3 . 3 4 7 x 104,7,,,,,
Ethylbenzene a,318.15,3. 006 x10 ~,7,,,,,
o-Xylene a,288.15,3. 513 x104,7,,,,,
o-Xylene a,298.15,3 . 2 9 7 × 104,7,,,,,
o-Xylene a,298.15,3.07 x104,9,,,,,
o-Xylene a,308.15,2. 985 x104,7,,,,,
o-Xylene a,318.15,2. 751 x104,7,,,,,
m-Xylene a,288.15,3. 725 × 104,7,,,,,
m-Xylene a,298.15,3. 644 x104,7,,,,,
m-Xylene a,298.15,3 . 3 8 x104,9,,,,,
m-Xylene a,308.15,3. 518 × 10 ~,7,,,,,
m-Xylene a,318.15,3. 1 8 0 /104,7,,,,,
p-Xylene a,288.15,3 . 7 5 0 ~ 104,7,,,,,
p-Xylene a,295.15,36315.5,"7, 1",,,,,
p-Xylene a,298.15,3 . 6 2 0 /104,7,,,,,
p-Xylene a,308.15,3 . 4 3 0 x104,7,,,,,
p-Xylene a,318.15,3.314 × 104,7,,,,,
"1,2,3-Tdmethylbenzene",288.15,1.115x105,7,,,,,
"1,2,3-Tdmethylbenzene",298.15,88700,"9,12",,,,,
"1,2,3-Tdmethylbenzene",298.15,1. 065 x105,7,,,,,
"1,2,3-Tdmethylbenzene",308.15,9 . 2 5 0 x10 ~,7,,,,,
"1,2,3-Tdmethylbenzene",318.15,7.836x104,7,,,,,
"1,2,4-Trimethylbenzene",288.I5,1. 276 xl 0 s,7,,,,,
"1,2,4-Trimethylbenzene",298.15,1.15 × 10 s,"9,12",,,,,
"1,2,4-Trimethylbenzene",298.15,1. 181 × i0 s,7,,,,,
"1,2,4-Trimethylbenzene",308.15,1.074 / 1 0 s,7,,,,,
"1,2,4-Trimethylbenzene",318.15,9. 634 x104,7,,,,,
"1,3,5-Trimethylbenzene a",288.15,1. 449 z10 s,7,,,,,
"1,3,5-Trimethylbenzene a",298.15,1.39 xl 0 s,"9,12",,,,,
"1,3,5-Trimethylbenzene a",298.15,1. 335 × 10 s,7,,,,,
"1,3,5-Trimethylbenzene a",308.15,I. 214 xl 0 s,7,,,,,
"1,3,5-Trimethylbenzene a",318.15,1. 134 xi n s,7,,,,,
o-Ethyl toluene,298.15,71940,"11,12",,,,,
p-Ethyl toluene,298.15,70400,"11,12",,,,,
Propylbenzene a,288.15,1.431 × 10 s,7,,,,,
Propylbenzene a,298.15,1.310x10 s,7,,,,,
Propylbenzene a,308.15,1.213 × 105,7,,,,,
Propylbenzene a,318.15,1. 042 x10 s,7,,,,,
Cumene a,288.15,1. 121 ×In s,7,,,,,
Cumene a,295.15,109097.8,"7,1",,,,,
Cumene a,298.15,1. 16 xlOs,9,,,,,
Cumene a,298.15,1. 086 xl 0 s,7,,,,,
Cumene a,308.15,9. 722 x104,7,,,,,
Cumene a,318.15,8 . 6 2 3 x104,7,,,,,
Sec-butylbenzene,298.15,"4 . 2 4 ,l0 s","9,12",,,,,
Te~-butylbenzene,298.15,"2 . 5 3 , :lO s","9,12",,,,,
"1,2,4,5-Tetramethylbenzene",298.15,2.14 ~ I0 ~,"11,12",,,,,
,,,0,,,,,
P o l y c y c l i c,Aromatics,,0,,,,,
Naphthalene,298.15,6 . 8 3x 10 ~,6,,,,,
Naphthalene,298.15,6 . 4 2xI04 ~,6,,,,,
1-Methylnaphthalene,298.15,2.82xl0 s,6,,,,,
2-Methylnaphthalene,298.15,2 . 6 5x10 s,6,,,,,
2-Methylnaphthalene,298.15,2.51xl 0 s,6,,,,,
"1,3-Dimethylnaphthalene",298.15,1.09 x106,6,,,,,
"1,4-Dimethylnaphthalene",298.15,7. 63 x 10 s,6,,,,,
"1,5-Dimethylnaphthalene",298.15,7.45xl0 s,6,,,,,
"2,3-Dimethylnaphthalene",298.15,5 . 0 2× lO s,6,,,,,
"2,6-Dimethylnaphthalene",298.15,4.69.-l0 s,6,,,,,
"2,6-Dimethylnaphthalene",298.15,6 . 5 3/10 s t.,6,,,,,
1-Ethylnaphthalene Biphenyl,298.15,8.06x l 0 s,6,,,,,
1-Ethylnaphthalene Biphenyl,298.15,4.9xl0 s,6,,,,,
1-Ethylnaphthalene Biphenyl,298.15,4 . 3 3x105 b,6,,,,,
Acenaphthene,298.15,3.98xl0 s,6,,,,,
Acenaphthene,298.15,4.33xl0 s s,6,,,,,
Acenaphthene,298.15,4 . 2 5× 105,16,,,,,
Fluorene,298.15,7.01xl 0 s,6,,,,,
Fluorene,298.15,"5 . 9 3xl 0 s t,",6,,,,,
Phenanthrene,298.15,1.76:-: 10~,6,,,,,
Phenanthrene,298.15,1. 50 ~ I0 ~ ~',6,,,,,
Anthracene,298.15,1. 84 .10:',6,,,,,
Anthracene,298.15,"1. 72"" 10 ~' +'",6,,,,,
Anthracene,298.15,2. 35 ~ 10 c,t6,,,,,
2-Methylanthracene,298.15,"4.17 "" l i p +'",6,,,,,
9-Methylanthracene,298.15,"1. 14,~ 11)7 ~",6,,,,,
"9,10-Dimethylanthracene",298.15,5.77x10 ~' ~',6,,,,,
Pyrene,298.15,4. 17 x10 ~,6,,,,,
Pyrene,298.15,3 . 8 7xlO s t',6,,,,,
Fluoranthene,298.15,6 . 0 2x10 ° b,6,,,,,
"1,2-Benzofluorene",298.15,6 . 7 3× 10 e' b,6,,,,,
"2,3-Benzofluorene",298.15,1 . 6 0 x107t',6,,,,,
Chrysene,298.15,3.41 × 107k',6,,,,,
Triphenylene,298.15,5 . 6 5x10~' ~',6,,,,,
Naphthacene,298.15,1.43:107~',6,,,,,
"1,2-Benzanthracene",298.15,4.24107 t,6,,,,,
"1,2-Benzanthracene",298.15,"5.41,"" 107",16,,,,,
"7,12-Dimethyl- 1,2-benzanthracene",298.t5,"2 . 6 0 ,107 t.",6,,,,,
Perylene,298.15,1. 15 /10 ~ t',6,,,,,
Benzo[alpyrene,298.15,"3. 75:,10 ~",16,,,,,
"3,4-Benzopyrene",298.15,"1.21~< 10"" t,",6,,,,,
:3- Methyleholanthrene,298.15,1. 61 z10 ~ ~',6,,,,,
"Benzo[g,h,i]perylene",298.15,1.89Zl0e~',6,,,,,
Coronene,298.15,"9. 82 ~"" In s ~'",6,,,,,
Carbon Tetrachloride a,293.15,11000,9,,,,,
Trichlomfluoromethane,298.15,7040,"10,12",,,,,
Dichlomdifluommethane,298.15,22400,"10,12",,,,,
Chlorotrifluromethane,298.15,64500,"10,12",,,,,
Carbon tetrafluoride a,298. 15,3.06 x l0 s,"10,12",,,,,
Nitrotriehlrt mmethane,298.15,5630,"9,12",,,,,
Dichlomfluoromethane,298. 15,299,"10,12",,,,,
Chlomdifluoromethane,298. 15,1730,"10,12",,,,,
Chloroform a,293. 15,810,9,,,,,
Trifluoromethane,298.15,4310,"10,12",,,,,
Triiodomethane,298. 15,2. 19 x 105,"10,12",,,,,
Diflourtrometharte,298. 15,658,"10,12",,,,,
Diiodomethane,298. 15,11990,"10,12",,,,,
Bromomethane,298.15,389,"10,12",,,,,
Chlommethane,298. 15,474,"10,12",,,,,
Fluoromethane,298. 15,787,"10,12",,,,,
ltexachlomethane,298.15,1.64 × ld',"10,12",,,,,
"1,1,2-Trichlorotrifluoroethane",298.15,61400,"10,12",,,,,
"1,2-Dichlorotetrafluoroethane",298. 15,69400,"10,12",,,,,
Chlompentafluoroethane,298.15,1.48 x lOs,"10,12",,,,,
"1,1,2,2-Tetrabromoethane a",303. 15,29500,"9,12",,,,,
Tetrachloroethene a,298.15,61360,"2,3",,,,,
Tetrafluomethene,298.15,35100,"10,12",,,,,
Hexafluoroethane,298. 15,9. 71 × lOs,"10,12",,,,,
Pentaehloroethane,293.15,23900,"9,12",,,,,
Bromoethane,298. 15,670,"2,13",,,,,
Chloroethene,298. 15,1290,"I0,12",,,,,
"1-Bromo, 2-chloroethane",:303. 15,1160,"9,12",,,,,
"1,2-Dibromoethane",298.lfi,2530,"9,12",,,,,
"1,1-Dichloroethene a",293.15,10760,"2,3",,,,,
"1,1-Dichloroethene a",298.15,25600,10,,,,,
"Cis 1,2-Dichloroethene a",298.15,1540,"2,3",,,,,
Chloroethane,298.15,394,"10,12",,,,,
3-Bromo- 1-propene,298. 15,1750,"10,12",,,,,
3-Chlorrt-l-propene,298. 15,1060,"10,12",,,,,
"1,2,3-Trichlorrtpropane",298.15,4310,"10,12",,,,,
"1,2-Dibrrtmopropane",298. 15,7810,"10,12",,,,,
"1,2-Dibrrtmopropane",298. 15,7840,"2,13",,,,,
"1,3-Dibromopropane",303.15,6670,"2,13",,,,,
"1,3-Dichloroprrtpane",298. 15,2300,"9,12",,,,,
1-Bromopropane a,303. 15,2770,"2,13",,,,,
2-Bromopropane a,293.15,2130,"2,13",,,,,
2-1odopropane,298. 15,6760,"10,12",,,,,
Octaflurt rocyclobutane,298.15,2.22 × 105,"10,12",,,,,
2-Chlorobutane,298.15,5130,"10,12",,,,,
1-Chloro-2- Methylpropane,298.15,5560,"10,12",,,,,
1-Bromo-2-Methylpropane,293.15,15000,"2,13",,,,,
1-Bromobutane a,289.15,13100,"2,13",,,,,
1-Bromopentane,298.15,66200,"10,12",,,,,
2- Chloro-2-methybutane,298.15,1780,"10,12",,,,,
1-Bromo-3-Methylbutane,293.15,43200,"2,13",,,,,
Hexachlorobenzene,298.15,3.33 × 109,"10,12",,,,,
Hexachlorobenzene,298.15,3. 16 × 109,"2,3",,,,,
m-Dichlorobeozene,293.15,73500,"2,3",,,,,
m-Dichlorobeozene,298. 15,66200,"10,12",,,,,
o-Dichlorobenzeae a,293.15,60890,"2,3",,,,,
p-Dichlorobenzene,293.15,l.17 / lOs,"2, 3",,,,,
p-Dichlorobenzene,298.15,"1 . 0 2 "" lOs","10,12",,,,,
"1,2,3-'IMchlorobenzene",298.15,3. 19 × lOs,"2, 3",,,,,
"1,2,4-Tfichlorobenzene",298.15,10070,~ 3,,,,,
"Â,2,3,4-Tetrachlorobenzene",298.15,2. 77 ~ l0 n,"2, 3",,,,,
"1,2,3,5-Tetrachlorobenzene",298.15,3.414 /106,"2,3",,,,,
"1,2,4,5-Tetrachlorobenzenc",298.15,2.0l 1 z107,"2, 3",,,,,
Pentachlorrtbertzene,298.18,2. 4 7 2 -10 r,"2, 3",,,,,
m-Difluorobenzenc,298.15,55600,"10,12",,,,,
o-Difluorobenzene,298.15,55560,"10,12",,,,,
)-Difluorobenzene,298.15,5180,"10,12",,,,,
,,,,,,,,
,Alcohols,,,,,,,
Pentartol a,298.15,270,9,,,,,
"2-Methyl, 1-butartol",298.15,161,"9,12",,,,,
"2,2-Dimethyl,1-propanol",298.15,136,"9,12",,,,,
3-Hexanrtl,298.15,348,"9,12",,,,,
"2-Methyl, 2-pentanol","298,15",170,"9,12",,,,,
"2-Methyl,3-pentanol",298.15,278,"9,12",,,,,
"]4-Methyl,2-pentanol",298.15,350,"9,12",,,,,
"3""Methyl,2""pentan°l",298.15,288,"9,12",,,,,
"3-Methyl,3-pentanol",298.15,128,"9,12",,,,,
"2,2-Dimcthyl,1-butartol",298.15,742,"9,12",,,,,
"2,3-Dimethyl,2-butanol",298. 15,131,"9,12",,,,,
"3,3-dimethyl,2-butanol",298.15,229,"9,12",,,,,
1-Hexene-3-ol,298.15,216,"9,12",,,,,
4-Hexene-3-ol,298.15,141,"9,12",,,,,
"2-Methyl, 4-pentene-3-ol",298.15,177,"9,12",,,,,
"2-Methyl,2-hexanol",298.15,660,"9,12",,,,,
"3-Methyl,3-hexanol",298.15,537,"9,12",,,,,
"2,3-Dimethyl,2-pentanol",298.15,413,"9,12",,,,,
"2,4-Dimethyl,2-pentanol",298.15,476,"9,12",,,,,
"2,2-Dimethyl,3-pentanol",298.15,781,"9,12",,,,,
"2,3-Dimethyl,3-pentanol",298.15,388,"9,12",,,,,
"2,4- Dimethyl,3-pert ta nol",298.15,916,"9,12",,,,,
"3-Ethyl,3-Perttanrtl",298.15,379,"9,12",,,,,
1-Octanol,298.15,11605,9,,,,,
"2,2,3-Trimethyl,3-pentanol",298.15,1040,"9,12",,,,,
l-Nonanol,298.15,4. 626 x 104,9,,,,,
1-Decanol,298.15,1. 765 < l0 s,9,,,,,
l-Dodecanol,298.15,3. 876 .< 106,9,,,,,
1-Tetradecartol,298. 15,3.97 x 107,"10,12",,,,,
1-Pentadecanol,298.15,1.43 x 10~,"10,12",,,,,
1-ltexadecanol,298.15,3.85 :z 10z,"10,12",,,,,
l-Heptadecanol,298.15,I. 79 >: 10~,"10,12",,,,,
